01,0001,0002
01,0010,0012
01,0013,0006
01,0011,0004
01,0005,0003
01,0008,0014
01,0007,0016
01,0009,0015
01,0007,0015
01,0009,0016
01,0005,0014
01,0008,0003
01,0013,0004
01,0011,0006
01,0001,0012
01,0010,0002
02,0001,0010
02,0012,0002
02,0013,0011
02,0004,0006
02,0005,0008
02,0014,0003
02,0007,0009
02,0015,0016
02,0002,0010
02,0012,0001
02,0006,0011
02,0004,0013
02,0003,0008
02,0014,0005
02,0016,0009
02,0015,0007
03,0002,0001
03,0012,0010
03,0006,0013
03,0004,0011
03,0003,0005
03,0014,0008
03,0016,0007
03,0015,0009
03,0015,0006
03,0009,0004
03,0007,0011
03,0016,0013
03,0014,0002
03,0008,0012
03,0005,0010
03,0003,0001
04,0001,0016
04,0002,0007
04,0012,0015
04,0010,0009
04,0004,0008
04,0006,0014
04,0013,0003
04,0011,0005
05,0007,0003
05,0016,0014
05,0015,0008
05,0009,0005
05,0013,0002
05,0006,0012
05,0004,0010
05,0011,0001
06,0015,0003
06,0009,0014
06,0007,0008
06,0016,0005
06,0004,0002
06,0011,0012
06,0013,0010
06,0006,0001
07,0001,0014
07,0010,0003
07,0012,0005
07,0002,0008
07,0013,0015
07,0011,0016
07,0004,0007
07,0006,0009
08,0007,0006
08,0016,0004
08,0015,0011
08,0009,0013
08,0005,0002
08,0003,0012
08,0014,0010
08,0008,0001
09,0001,0004
09,0010,0006
09,0012,0013
09,0002,0011
09,0005,0015
09,0008,0016
09,0014,0007
09,0003,0009
10,0001,0013
10,0010,0011
10,0012,0004
10,0002,0006
10,0005,0007
10,0008,0009
10,0014,0015
10,0003,0016
11,0001,0009
11,0002,0016
11,0012,0007
11,0010,0015
11,0004,0005
11,0006,0008
11,0013,0014
11,0011,0003
12,0011,0008
12,0013,0005
12,0006,0003
12,0004,0014
12,0010,0016
12,0012,0009
12,0002,0015
12,0001,0007
12,0001,0015
12,0002,0009
12,0012,0016
12,0010,0007
12,0004,0003
12,0006,0005
12,0013,0008
12,0011,0014
13,0001,0005
13,0010,0008
13,0012,0014
13,0002,0003
13,0013,0007
13,0011,0009
13,0004,0015
13,0006,0016
14,0016,0015
14,0009,0007
14,0003,0014
14,0008,0005
14,0006,0004
14,0011,0013
14,0002,0012
14,0010,0001
